TEAM,SEASON,W_PCT,FG_PCT,FG3_PCT,FT_PCT,PTS,REB,AST,TOV,STL,BLK,Playoff Result,Season Rank
Atlanta Hawks,2011-12,0.606,0.454,0.37,0.74,104.2,44.4,24.2,15.1,8.8,5.0,12.5,10
Atlanta Hawks,2012-13,0.537,0.464,0.371,0.715,103.7,43.3,25.9,15.7,8.6,4.8,12.5,12
Atlanta Hawks,2013-14,0.463,0.458,0.363,0.781,104.9,41.5,25.9,15.9,8.6,4.1,12.5,16
Atlanta Hawks,2014-15,0.732,0.466,0.38,0.778,108.2,42.8,27.2,15.0,9.6,4.9,3.5,2
Atlanta Hawks,2015-16,0.585,0.458,0.35,0.783,104.6,42.8,26.1,15.2,9.3,6.0,6.5,8
Atlanta Hawks,2016-17,0.524,0.451,0.341,0.728,104.5,44.9,24.0,16.0,8.3,4.9,12.5,10
Atlanta Hawks,2017-18,0.293,0.446,0.36,0.785,104.4,42.3,24.0,15.7,7.9,4.3,25.0,30
Atlanta Hawks,2018-19,0.354,0.451,0.352,0.752,107.5,43.7,24.5,16.2,7.8,4.8,25.0,24
Atlanta Hawks,2019-20,0.299,0.449,0.333,0.79,107.0,41.4,22.9,15.5,7.5,4.9,25.0,28
Atlanta Hawks,2020-21,0.569,0.468,0.373,0.812,114.3,45.9,24.3,13.3,7.0,4.8,3.5,10
Boston Celtics,2011-12,0.591,0.46,0.367,0.778,100.1,42.3,25.7,16.2,8.2,6.0,3.5,8
Boston Celtics,2012-13,0.506,0.465,0.358,0.776,102.2,41.6,24.1,15.4,8.7,4.8,12.5,14
Boston Celtics,2013-14,0.305,0.435,0.333,0.777,101.9,45.0,22.3,16.3,7.5,4.4,25.0,24
Boston Celtics,2014-15,0.488,0.443,0.327,0.754,103.8,44.9,25.1,14.2,8.4,3.7,12.5,14
Boston Celtics,2015-16,0.585,0.439,0.335,0.788,105.8,45.0,24.2,13.8,9.2,4.2,12.5,10
Boston Celtics,2016-17,0.646,0.454,0.359,0.807,110.6,43.0,25.8,13.6,7.7,4.2,3.5,2
Boston Celtics,2017-18,0.671,0.45,0.377,0.771,106.8,45.6,23.1,14.4,7.6,4.7,3.5,4
Boston Celtics,2018-19,0.598,0.465,0.365,0.802,111.3,44.1,26.0,12.7,8.5,5.3,6.5,8
Boston Celtics,2019-20,0.667,0.461,0.364,0.801,112.8,45.7,22.8,13.7,8.2,5.6,3.5,6
Boston Celtics,2020-21,0.5,0.466,0.374,0.775,113.1,44.4,23.5,14.1,7.8,5.3,12.5,14
Brooklyn Nets,2011-12,0.333,0.425,0.342,0.777,101.8,44.1,21.7,16.5,8.2,4.3,25.0,15
Brooklyn Nets,2012-13,0.598,0.45,0.357,0.731,106.9,47.2,22.4,16.2,8.1,5.3,12.5,8
Brooklyn Nets,2013-14,0.537,0.459,0.369,0.753,105.4,40.8,22.4,15.5,9.2,4.1,6.5,12
Brooklyn Nets,2014-15,0.463,0.451,0.331,0.748,103.4,44.7,22.1,14.6,7.4,4.4,12.5,16
Brooklyn Nets,2015-16,0.256,0.453,0.352,0.757,102.4,44.0,23.1,15.3,7.9,4.2,25.0,28
Brooklyn Nets,2016-17,0.244,0.444,0.338,0.788,103.6,43.0,21.0,16.2,7.1,4.6,25.0,30
Brooklyn Nets,2017-18,0.341,0.441,0.356,0.772,106.1,44.2,23.6,15.1,6.2,4.7,25.0,24
Brooklyn Nets,2018-19,0.512,0.449,0.353,0.745,108.9,45.2,23.1,14.6,6.4,4.0,12.5,12
Brooklyn Nets,2019-20,0.486,0.448,0.343,0.745,108.7,46.6,23.8,14.8,6.3,4.4,12.5,14
Brooklyn Nets,2020-21,0.667,0.494,0.392,0.804,117.3,43.9,26.5,13.4,6.6,5.2,6.5,4
Charlotte Hornets,2011-12,0.106,0.414,0.295,0.746,94.4,42.3,21.8,15.7,6.5,5.9,25.0,15
Charlotte Hornets,2012-13,0.256,0.425,0.335,0.75,100.4,43.3,20.8,15.1,7.7,6.3,25.0,15
Charlotte Hornets,2013-14,0.524,0.442,0.351,0.737,103.0,45.4,23.1,13.1,6.5,5.5,25.0,15
Charlotte Hornets,2014-15,0.402,0.42,0.318,0.748,99.6,46.6,21.3,12.6,6.4,5.8,25.0,22
Charlotte Hornets,2015-16,0.585,0.439,0.362,0.79,106.4,45.2,22.3,12.9,7.5,5.5,12.5,12
Charlotte Hornets,2016-17,0.439,0.442,0.351,0.815,108.4,45.0,23.8,11.9,7.2,4.9,25.0,22
Charlotte Hornets,2017-18,0.439,0.45,0.369,0.747,109.0,45.8,21.7,12.8,6.9,4.6,25.0,20
Charlotte Hornets,2018-19,0.476,0.448,0.351,0.797,110.7,43.8,23.2,12.2,7.2,4.9,25.0,18
Charlotte Hornets,2019-20,0.354,0.434,0.352,0.748,105.9,44.0,24.5,15.0,6.8,4.2,25.0,20
Charlotte Hornets,2020-21,0.458,0.455,0.369,0.761,110.1,44.0,27.0,14.9,7.9,4.8,25.0,20
Charlotte Bobcats,2011-12,0.106,0.414,0.295,0.746,94.4,42.3,21.8,15.7,6.5,5.9,25.0,30
Charlotte Bobcats,2012-13,0.256,0.425,0.335,0.75,100.4,43.3,20.8,15.1,7.7,6.3,25.0,28
Charlotte Bobcats,2013-14,0.524,0.442,0.351,0.737,103.0,45.4,23.1,13.1,6.5,5.5,12.5,14
Charlotte Bobcats,2014-15,0.402,0.42,0.318,0.748,99.6,46.6,21.3,12.6,6.4,5.8,25.0,15
Charlotte Bobcats,2015-16,0.585,0.439,0.362,0.79,106.4,45.2,22.3,12.9,7.5,5.5,25.0,15
Charlotte Bobcats,2016-17,0.439,0.442,0.351,0.815,108.4,45.0,23.8,11.9,7.2,4.9,25.0,15
Charlotte Bobcats,2017-18,0.439,0.45,0.369,0.747,109.0,45.8,21.7,12.8,6.9,4.6,25.0,15
Charlotte Bobcats,2018-19,0.476,0.448,0.351,0.797,110.7,43.8,23.2,12.2,7.2,4.9,25.0,15
Charlotte Bobcats,2019-20,0.354,0.434,0.352,0.748,105.9,44.0,24.5,15.0,6.8,4.2,25.0,15
Charlotte Bobcats,2020-21,0.458,0.455,0.369,0.761,110.1,44.0,27.0,14.9,7.9,4.8,25.0,15
Chicago Bulls,2011-12,0.758,0.452,0.375,0.722,106.3,51.5,25.5,15.4,7.6,6.5,12.5,2
Chicago Bulls,2012-13,0.549,0.437,0.353,0.773,102.4,47.5,25.3,15.7,7.9,5.6,6.5,10
Chicago Bulls,2013-14,0.585,0.432,0.348,0.779,101.7,48.0,24.6,16.2,7.9,5.6,12.5,8
Chicago Bulls,2014-15,0.61,0.442,0.353,0.783,106.3,48.2,22.9,14.7,6.6,6.1,6.5,6
Chicago Bulls,2015-16,0.512,0.441,0.371,0.787,104.1,47.4,23.4,14.2,6.2,5.9,25.0,18
